"ID_1","ID_2","HH_ID"
1373498,6360709,306
3332087,8508033,547
5837848,9218510,1850
2035,2714133,2035
4465428,8948069,2085
1003861,7454437,2224
1010715,1770841,2224
1010715,6072364,2224
1038460,1932694,2224
1897951,10936013,2224
1910328,3624238,2224
2431574,5410303,2224
2491265,10445546,2224
4560560,6357063,2224
4842485,7130206,2224
4846677,6072364,2224
5368046,10365911,2224
5889420,8064116,2224
5889420,9347899,2224
6436105,10848350,2224
8411355,10481873,2224
2543,5177490,2543
3117,1223929,3117
487582,2855140,3117
857963,5360218,3117
1273209,10516318,3117
1510333,5360218,3117
2246519,3836647,3117
2362812,10481640,3117
4969512,10938945,3117
6929736,8587217,3117
7838525,9682341,3117
8574440,8587217,3117
9354773,10516318,3117
968574,8283278,3120
1951167,4745616,3120
2707397,7159557,3120
8283278,10047776,3120
7597209,9857055,3154
1792641,10217810,3179
2038744,10056776,3179
2043111,10335520,3179
3616283,7250695,3179
3616283,10217810,3179
4725987,5913925,3179
6674678,10217810,3179
7250695,10217810,3179
7312327,9825984,3179
7312327,10056776,3179
9825984,10856717,3179
707452,9083250,3274
760589,4505383,3274
760589,7253967,3274
1159372,9109007,3274
1445687,3773609,3274
1445687,5862527,3274
1679157,4351390,3274
1679157,10305860,3274
2081732,6348355,3274
2586632,3820757,3274
2781853,7836263,3274
3619434,6671826,3274
5344020,7632901,3274
7370185,9462082,3274
3974,1581008,3972
4132,5884066,4130
4472,8377404,4470
23648,2709998,4470
23648,6649261,4470
436794,7079107,4470
680109,4025269,4470
1103800,2899584,4470
1358603,4914607,4470
1924445,3570078,4470
1924445,4914607,4470
1966459,10260696,4470
4025269,5555453,4470
4061987,7016462,4470
4061987,7753957,4470
4163268,8377404,4470
4308401,5263231,4470
5103941,9632815,4470
5263231,10631174,4470
5555453,6649261,4470
5555453,10631174,4470
5620858,7977495,4470
6341049,10719746,4470
6657893,7977495,4470
7051256,10092243,4470
7374203,10239668,4470
8707423,9632815,4470
4995,5619657,4992
4995,8990830,4992
15137,3279020,4992
15137,6607633,4992
15137,9506067,4992
15137,10876057,4992
56486,608883,4992
67419,2496871,4992
67419,8502957,4992
67419,9124414,4992
73512,2979146,4992
73512,6070573,4992
85094,6666259,4992
85094,8598739,4992
88763,1616944,4992
88763,9266954,4992
172576,1775942,4992
172576,3122952,4992
225176,592811,4992
225176,863201,4992
225176,7853529,4992
225176,8808438,4992
230853,8827732,4992
349326,1052308,4992
349326,9000112,4992
411926,4047065,4992
492356,8219795,4992
492356,9266954,4992
492356,10752069,4992
583493,3596550,4992
614311,5230992,4992
721985,3531051,4992
721985,5367707,4992
721985,6800773,4992
851153,1946792,4992
851153,3202871,4992
851153,8268912,4992
851153,8615447,4992
863201,8732916,4992
887385,1379128,4992
895168,2370320,4992
895168,9195785,4992
895168,9383951,4992
961721,5328050,4992
961721,6420155,4992
975400,7759894,4992
975400,7904496,4992
975400,8511641,4992
1052308,2246000,4992
1052308,5811483,4992
1052308,10471326,4992
1058182,7396612,4992
1127022,2562974,4992
1127022,2745154,4992
1127022,7853529,4992
1143196,5226310,4992
1143196,5759738,4992
1148471,2709746,4992
1148471,3635775,4992
1148471,7654326,4992
1163616,7948681,4992
1234584,1975323,4992
1234584,5628687,4992
1234584,7483359,4992
1268715,4111512,4992
1320502,8747492,4992
1320502,10901335,4992
1379128,6800773,4992
1379663,1638614,4992
1379663,7716947,4992
1379663,9451456,4992
1406206,6706901,4992
1406206,9110128,4992
1406206,9279674,4992
1420295,4255718,4992
1431549,10081784,4992
1576621,1997378,4992
1576621,2872212,4992
1616944,6161045,4992
1625090,8464831,4992
1625090,9482222,4992
1625090,10653536,4992
1638614,10161938,4992
1775942,2340771,4992
1788024,7716947,4992
1788024,8971089,4992
1788024,9632261,4992
1797890,4328116,4992
1797890,5872250,4992
1797890,6800773,4992
1797890,8772391,4992
1802859,3279020,4992
1802859,7654326,4992
